No,Roll,Semeset,CGPA
722,571912,7,2.89
723,571918,7,3.31
724,571920,7, 69451(T)
725,571929,7,2.85
726,571930,7, 66841(T)
727,571931,7, 66631(T) 66841(T)
728,571933,7, 66631(T) 69453(T)
729,571935,7,2.91
730,571936,7, 69054(T) 69451(T)
731,571941,7,2.59
732,571943,7,3.10
733,571944,7,2.88
734,571945,7, 66631(T)
735,571947,7,3.03
736,571948,7,3.03
737,571949,7,2.84
738,571956,7,3.06
739,571957,7,3.21
740,571959,7,2.93
741,571960,7,3.34
742,571962,7,3.13
743,571964,7,3.29
744,571965,7,3.14
745,571966,7,3.44
746,571971,7,2.85
747,571972,7, 69452(T)
748,571973,7,3.13
749,571974,7,3.19
750,571975,7,3.24
751,571976,7,2.98
752,571977,7,3.44
753,571978,7,2.75
754,571979,7, 69451(T) 69453(T)
755,571980,7, 65851(T) 69453(T)
756,571984,7, 69453(T)
757,571987,7, 69453(T)
758,571988,7,3.28
759,571991,7, 69453(T)
760,571993,7,3.03
761,571996,7,3.46
762,571999,7,3.01
763,572000,7,3.39
764,572001,7, 69453(T)
765,572002,7, 66631(T) 69453(T)
766,572007,7,2.98
767,572010,7,2.96
768,572011,7,2.78
769,572013,7, 69453(T)
770,572016,7, 66841(T) 69453(T)
771,572018,7,3.29
772,572020,7,3.45
773,572021,7,3.23
774,572023,7,3.34
775,572024,7,3.01
776,572025,7, 66841(T)
777,572027,7,3.01
778,572029,7, 66631(T)
779,572033,7,3.20
780,572034,7, 66841(T)
781,572035,7, 66841(T)
782,572036,7, 66841(T) 69451(T)
783,572038,7, 66841(T)
784,572043,7, 66841(T)
785,572044,7,3.56
786,572045,7,3.34
787,572047,7,3.39
788,572051,7, 69451(T)
789,572053,7, 66841(T)
790,572054,7, 66631(T) 66841(T)
791,572055,7,3.20
792,572056,7,3.49
793,572058,7,3.18
794,572059,7,2.98
795,572065,7,3.34
796,572066,7, 69451(T)
797,572067,7, 66841(T)
798,572070,7,3.45
799,572071,7,3.05
800,572073,7,3.69
801,572075,7, 66743(T) 66841(T)
802,572078,7,2.90
803,572085,7, 66841(T)
804,572086,7, 66841(T)
805,572087,7, 66841(T)
806,572094,7, 66841(T) 69453(T)
807,573030,7,2.96
808,573376,7,3.42
809,573497,7,3.70
810,576766,7,3.21
811,577493,7,3.11
812,577515,7, 66442(T) 66443(T)
813,577520,7,3.21
814,577589,7,2.89
815,577593,7,2.89
816,577753,7,3.25
817,577791,7,3.68
818,577796,7,3.64
819,577797,7,3.43
820,577951,7,3.73
821,578019,7,3.68
822,578021,7, 66651(T) 68546(T)
823,578287,7,3.29
824,578302,7,3.38
825,579387,7,3.43
826,579520,7,3.85
827,579526,7,3.44
828,579529,7, 66842(T) 68546(T)
829,579541,7, 66651(T) 68546(T)
830,579562,7,2.94
831,579725,7,3.83
832,580067,7,3.39
833,580096,7,3.23
834,580285,7, 68546(T)
835,580637,7,3.34
836,580654,7,3.70
837,580783,7,3.64
838,583317,7, 66455(T)
839,583323,7,3.25
840,583519,7,3.00
841,583732,7, 66441(T) 66454(T)
842,585283,7,3.39
843,585571,7,3.79
